name,position,points,rank
Leonard Fournette,RB,0.0,2028
Tyquan Thornton,WR,0.0,1490
Chase Brown,RB,38.856797363,439
Chargers D/ST,ST,79.11445281699997,508
Lions D/ST,ST,71.377216963,514
Giants D/ST,ST,74.243366154,513
Rashid Shaheed,WR,103.58088786000002,324
Michael Wilson,WR,116.34650794,321
Matt Prater,K,127.66247039299999,493
Allen Robinson II,WR,93.24995540800002,328
Logan Thomas,TE,96.899039984,352
Randall Cobb,WR,80.59109061400001,367
Bears D/ST,ST,62.98630799999999,517
Wan'Dale Robinson,WR,91.756740632,322
Matt Breida,RB,60.764423226000005,336
Darius Slayton,WR,99.618289938,370
Tutu Atwell,WR,110.44443671900001,326
Mack Hollins,WR,102.290344796,325
Michael Carter,RB,38.914388951,438
Brandon Aubrey,K,131.90172747,504
Kendrick Bourne,WR,103.526128852,327
Zonovan Knight,RB,0.0,2555
Ronald Jones,RB,55.991503720000004,333
Anders Carlson,K,121.52635522100002,498
Cade Otton,TE,101.393423932,365
Trayveon Williams,RB,72.558621294,302
Texans D/ST,ST,95.43706046800001,428
Rico Dowdle,RB,61.425353192,334
Josh Downs,WR,83.730778098,369
Chad Ryland,K,122.86243252099999,499
Ameer Abdullah,RB,60.999882025999995,335
Raheem Blackshear,RB,74.11574705999999,301
Colts D/ST,ST,87.137913586,511
Isaiah Likely,TE,59.80670222,443
Joshua Palmer,WR,83.9528623,392
Blake Grupe,K,127.50420610399999,495
Puka Nacua,WR,71.906275022,407
Raiders D/ST,ST,54.608358636,520
Braxton Berrios,WR,90.07449838,329
Tom Brady,QB,0.0,2426
Rams D/ST,ST,63.702543379,518
Trey Lance,QB,0.0,479
Austin Hooper,TE,88.283733566,419
Trey McBride,TE,70.560613858,417
Darnell Washington,TE,27.718685348,1047
Sean Tucker,RB,28.440212601,1042
Latavius Murray,RB,42.045718181,433
Jimmy Graham,TE,22.299983427,466
Ka'imi Fairbairn,K,128.315065489,496
Isaiah Spiller,RB,51.22449794100001,400
Jaleel McLaughlin,RB,56.773419946,355
Calvin Austin III,WR,37.989872966,1021
Tristan Vizcaino,K,0.0,2345
Trey Palmer,WR,60.94335476999999,989
Joey Slye,K,118.67314908,503
Joshua Dobbs,QB,62.034059070000005,431
Malik Davis,RB,0.0,2597
Craig Reynolds,RB,65.82860190000001,304
Luke Schoonmaker,TE,49.696370076,465
Cedric Tillman,WR,61.678380196,987
Myles Gaskin,RB,56.526505414999995,341
Terrace Marshall Jr.,WR,80.72030475000001,356
Salvon Ahmed,RB,28.271095266,303
Sterling Shepard,WR,51.811803675,1001
Quez Watkins,WR,76.611757208,391
Demario Douglas,WR,83.63983529800001,393
Chase McLaughlin,K,118.20141976400001,502
Kyle Trask,QB,90.86596060100001,430
Chris Evans,RB,54.133982216,397
Jauan Jennings,WR,71.619025562,396
Kene Nwangwu,RB,0.0,1451
Will Levis,QB,43.305483043,455
Deonte Harty,WR,95.52624949700001,357
Cardinals D/ST,ST,61.41503701700001,519
Cade York,K,0.0,2547
Jamal Agnew,WR,68.70643737500001,420
Kenyan Drake,RB,0.0,2053
Stetson Bennett,QB,30.300798342,481
Zach Evans,RB,37.63845281099999,458
Ke'Shawn Vaughn,RB,50.069351264000005,405
Josh Reynolds,WR,65.48633196200001,422
Ty Montgomery II,RB,0.0,397
James Robinson,RB,0.0,2266
Nick Westbrook-Ikhine,WR,77.070276132,371
Kayshon Boutte,WR,53.94346555599999,995
Chris Rodriguez Jr.,RB,53.908247538000005,399
Corey Davis,WR,0.0,2047
Sam Darnold,QB,45.338120026,452
DeeJay Dallas,RB,40.154371296,436
Boston Scott,RB,26.329935366999997,1051
Russell Gage,WR,0.0,1351
Pierre Strong Jr.,RB,45.860248828,406
Noah Gray,TE,68.39293662400001,467
Dare Ogunbowale,RB,60.223757535999994,338
Khalil Shakir,WR,50.819513244,1004
Will Dissly,TE,61.747125874,446
Daniel Bellinger,TE,45.684709770000005,474
Richie James,WR,24.463410766000003,1056
Kyle Juszczyk,RB,28.402486422000003,1043
Jacoby Brissett,QB,26.435323153,448
Devin Duvernay,WR,27.471792246999996,1049
Israel Abanikanda,RB,12.551238946,1119
Marcus Mariota,QB,41.514541638,476
Corey Clement,RB,0.0,2056
Hendon Hooker,QB,0.0,1526
Justice Hill,RB,54.655370422000004,398
Deven Thompkins,WR,71.75661158800001,394
Zach Wilson,QB,15.424909215,1107
C.J. Uzomah,TE,48.70372068,470
Hassan Haskins,RB,0.0,1486
Tucker Kraft,TE,45.461419124,1007
Zane Gonzalez,K,0.0,2050
Antonio Brown,WR,0.0,2091
Durham Smythe,TE,79.55421046000001,469
Gardner Minshew,QB,27.521735260000003,478
Eric Gray,RB,15.229726405,1109
Nyheim Hines,RB,0.0,1386
Jake Bobo,WR,7.080438911000001,1157
Jonnu Smith,TE,58.954480847999996,460
Julius Chestnut,RB,52.008447196000006,404
Ronnie Bell,WR,21.110426993,1065
Jalen Tolbert,WR,37.574728944,1023
Kalif Raymond,WR,61.30511222199999,988
DeWayne McBride,RB,0.0,2674
Anthony McFarland Jr.,RB,38.405923008,435
JaMycal Hasty,RB,35.47621693,459
Taylor Heinicke,QB,53.298585029,453
Clayton Tune,QB,28.645817122000004,441
Rob Gronkowski,TE,0.0,2100
Emari Demercado,RB,59.23403755000001,340
Ben Roethlisberger,QB,0.0,2109
Robert Tonyan,TE,29.339147792,1037
Foster Moreau,TE,42.02292062200001,461
